Gene	1-NX-7-D3	2-JYP-5-D3	2-JYP-7-D3	2-JYP-8-D3	3-zhang-1-D3	4-zhou-2-D3	1-NX-2-D3	3-zhang-7-D3	4-zhou-1-D3	5-li-4-D3	6-zhang-2-D3	7-di-3-D3	8-liu-10-D3	4-zhou-8-D3	5-li-6-D3	5-li-13-D3	6-zhang-6-D3	8-liu-15-D3	9-shi-2-D3	11-yao-2-D3	12-wen-13-D3	13-jin-3-D3	13-jin-7-D3	2-JYP-9-D3	4-zhou-9-D3	6-z-12-D3	7-di-7-D3	8-liu-9-D3	1-NX-4-D3	3-zhang-6-D3	12-wen-6-D3	5-li-1-D3	17-chen-3-D3	14-zhang-5-D3	15-zhou-11-D3	18-xu-11-D3	19-lu-10-D3	20-li-5-D3	20-li-11-D3	21-lu-11-D3	22-wang-4-D3	22-wang-8-D3	24-liu-7-D3	9-shi-10-D3	11-yao-1-D3	13-jin-8-D3	14-zhang-2-D3	15-zhou-3-D3	18-xu-10-D3	22-wang-9-D3	26-qi-8-D3	28-sun-4-D3	29-li-5-D3	16-zheng-7-D3	19-lu-6-D3	21-lu-10-D3	23-cai-8-D3	24-liu-5-D3	25-qin-2-D3	26-qi-6-D3	26-qi-7-D3	28-sun-3-D3	29-li-8-D3	30-xiang-6-D3	30-xiang-7-D3	30-xiang-8-D3	32-wang-7-D3	35-xie-7-D3	35-xie-4-D3	36-qi-1-D3	38-dong-14-D3	41-zhou-8-D3	43-feng-10-D3	35-xie-9-D3	36-qi-7-D3	36-qi-8-D3	36-qi-18-D3	37-liao-2-D3	38-dong-10-D3	38-dong-13-D3	40-lin-12-D3	40-lin-15-D3	41-zhou-1-D3	27-lin-7-D3	30-xiang-11-D3	31-wu-6-D3	32-wang-1-D3	37-liao-5-D3	46-li-3-D3	49-xu-2-D3	58-chen-6-D3	20-li-8-D3	44-huang-4-D3	42-xu-7-D3	42-xu-17-D3	43-feng-13-D3	46-li-5-D3	48-shen-5-D3	48-shen-8-D3	48-shen-9-D3	49-xu-9-D3	51-gao-3-D3	51-gao-6-D3	39-wu-8-D3	40-lin-9-D3	42-xu-16-D3	45-cheng-1-D3	47-nian-7-D3	50-lai-9-D3	51-gao-5-D3	53-lang-6-D3	54-li-3-D3	55-xu-8-D3	52-wu-6-D3	52-wu-11-D3	53-lang-16-D3	58-chen-7-D3	57-zhao-2-D3	59-meng-3-D3
ADAM12	0	0	4.59	38.55	1.64	0	0	0	0	0	0	1.27	3.2	0	0.86	0	0	0	5.02	0	0	1.14	0	2.18	3.5	0.09	0	0.96	1.76	0	0	0	1.07	60.98	1.51	1.32	0	0	2.88	0	2.05	1.31	0	0	0	4.02	3.63	0	1.04	1.91	0	0	2.49	0	0	0	0	0	1.44	0	0	7.79	2.65	7.11	123.82	0	0	0	0	0	2.42	0	0	0	118.22	0	38.15	0	0	0	0	0	0	0	3.51	0	0	1.83	1.79	7.75	0.38	0	0.95	41.48	0	7.72	0	0	0.55	19.54	0	3.69	8.71	0	10.45	0	0	0	8.46	2.72	1.64	9.11	1.47	0	47.23	0.19	0	0	51.83
ADAMTS7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.58	0	0	0	0	0	0	0	0	0	14.77	2.31	0	0	2.21	20.08	0	0.69	1.86	0	0	0	0	4.57	0	0	0	0	0	0.29	0	0	0	0	0	12.33	5.63	29.58	18.74	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87	7.24	0	0	9.74	0	0	0	0	0	4.39	1.29	0	0	0	0	0	3.13	1.13	0	0	0	0	0.38	0	0	0	0	0	0	2.91	3.81	0	0	0	2.96	0	0	1.34	1.56	1.96	0	3.4
ADCY7	0	43.1	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0	16.76	0	0	0	0	0	0	13.46	0	35.66	0	0	0	18.67	35.68	2.03	6.84	0	0	16.39	75.29	0	0	0	195.9	0	0	0	11.47	0	0	32.85	0	0	5.51	43.39	0	39.7	20.07	21.28	0	5.54	155.2	37.48	0	25.12	0	0	0	0	8.6	0	0	0	0	0	0	85.76	0	0	91.63	0	0	0	0	0	0	0	0	0	3.15	48.55	33.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.51	20.49	0	32.78	15.45	29.84	101.01	0	0	0	20.25	0
ADD2	0	3.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	2.23	0	0	0	4.15	0	0	0	0	0	0	0	0	0	0	0	0	0.63	9.14	0	4.01	0	9.11	0	163.7	9.73	0	0	0	0	0	0	0	0	0	0	0	6.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94	0	0	13.55	0	38.44	3.32	0	0	36.19	12.56	7.05	0	0	0.54	2.57	1.01	1.06	1	0.95	18.16	2	3.78	10.98	386.26	34.46	13.56	2.39	2.76	12.18
ADK	0	47.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.45	0	0	0	22.11	120.46	329.49	0	0	97.18	0	0	0	11.98	0	0	0	0	0	0	0	0	13.86	0	0	0	0	0	0	26.62	0	0	0	1.33	0	0	30.02	0	56.95	68.79	14.44	87.01	4223.97	35.94	24.71	60.38	21.03	0	0	0	0	8.59	0	0	117.02	0	5.18	6.4	0	0	23.29	14.89	5.61	0
ADRA2B	3.72	0	0	17.1	9.71	0.55	3.23	8.31	17.18	2.17	0	0.83	1.25	9.51	0	6.55	5.14	9.46	13.66	0	0	12.99	0	4	0.62	0	73.39	88.67	53.55	81.4	0	63.14	146.23	1.57	31.21	1.05	4.06	7.56	0	13.82	24.25	57.02	3.28	0	16.77	10.27	12.07	8.07	7.16	34.99	29.95	10.34	0	19.39	1.18	15.82	5.67	10.9	12.29	22.95	0	4.33	12.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82	0	48.57	0	2.32	3.99	12.61	9.52	19.41	24.79	11.29	2.83	0	11.71	3.28	11.31	17.62	8.57	8.94	0.52	17.45	27.35	4.26	15.99	3.02	11.78	1.71	18.03	20.74	9.19	20.3	7.58	6.68	19.38	0	0	2.11	11.32	0	7.66	3.11
AEBP1	84.15	0	0	0	4.91	0	0	0.62	0	0	0	2.58	1.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.34	107.8	4.75	0	0	0	91.4	0	1.98	0	0	0	0	0	0	0	0	1.2	0.35	0	0	7.26	0	0	0	0	12.77	0	49.21	372.42	12.47	0	0	0	6.49	0	0	0	0	0	0	15.46	0	0	32.68	0	0	19.22	0	5.1	0	0	0	0	0	0	0	0	0	0	7.53	27.36	1.4	0	4.06	17.4	0	2.01	0	170.46	0	0	0	2.8	16.04	24.44	97.6	23.91	0	0	0	0	10.61	10.31	0	0	0
AEN	0	0	0	0	0	52.2	0	0	0	0	0	10.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	0	0	0	11.02	0	0	0	0	0	13.18	0	8.98	0	0	3.39	0	0	0	0	0	0	2.64	0	4.7	0	0	0	0	0	0	0	0	34.57	28.71	0	0	0	0	0	0	0	0	0	0	0	0	28.94	0	148.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36	0	0	12.87	2.34	13.31	25.28	1495.2	8.64	2.34	20.95	5.8	0	0	0	8.14	0	0	9.98	0	0	4.98	18.56	187	0	0	21.33	0	0
AFF3	0	0	0	0	0	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322.08	8.11	0	0	0	0	0	17.04	0	0	0	2.97	120.3	3.61	0	0	0	0	2.98	0	0	0	0	0	0	0	2.1	0	0	0	1.14	0	0	4.7	0	0	36.9	0	0	0	0	127.04	0	0	0	0	0	0	0	0	0	24.59	0	0	0	80.6	0	0	0	0	83.93	0	0	0	69.12	0	0	1.12	6.42	0	371.92	0	0	0	0	0	0	11.2	0	0	0	0	0	0	0	0	103.93	7.52	8.57	0	0	0	0	0	1.28	0	1.33	2.01
AGAP3	7.65	0	0	0	0	0	0	0	0	0	8.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.4	0.32	4.6	192.86	0	73.61	399	4.97	0	0	0	0	0	20.03	0	0	17.43	18.75	9.82	0	82.6	1.26	0	1.27	96.55	87.2	0	320.65	274.31	12.83	0	0	0	57.08	0	0	0	0	23.38	0	0	0	0	45.03	0	0	0	0	228.02	0	0	0	0	0	10.25	0	0.95	0	0	0	0	74.43	11.11	0	0	0	4.17	176.62	0	50.57	0	2.29	14.71	14.28	9.08	15.28	18.79	54.76	5.17	0	8.08	54.52	126.96	50.41	38.53	0
ALB	10.76	4.35	0	67.95	56.6	51.18	461.67	25.37	0	112.18	788.68	312.26	323.93	0	0	306.58	102.98	145.64	511.24	23.83	273.81	92.33	19.58	722.83	0	0	90.91	0	0	70.49	0	42.54	0	0	0	1541.43	38.02	473.11	3.09	0	3.63	0	0	0	24.75	0	207.41	136.41	51.68	165.77	245.56	280.83	545.59	86.38	107.27	0	0	3.35	0	43.82	132.85	0	38.17	0	0	0	0	0	86.23	0	12.05	0	0	0	0	0	0	0	120.91	0	0	0	0	27.35	37.98	0	0	71.61	0	5.74	0	0	0	9	31.69	0	0	0	0	28.38	0	35.75	7.45	0	2.31	15.42	20.41	51.18	19.53	68.29	0	0	0	1.97	4.64	0	0	0	9.27
ANGPTL4	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02	0	0	3.3	0	98.57	2.94	0	16.9	32.28	0	0	22.53	0	2.33	0	0	0	0	0	362.96	0	0	8.04	35.02	0	0	214.83	0	0	0	0	0	0	0	228.69	0	0	0	109.31	0	0	0	0	0	0	0	0	0	0	0	0	21.42	0	10.14	0	6.63	0	4.95	14.5	0	21.04	0	27.68	53.87	0	0	0	0	0	0	0	18.02	14.71	0	0	0	0	47.99	44.47	1.62	0
ANK1	0	0	0	0.24	3.94	0	3.03	2.69	0	1.9	11.83	20.55	4.17	0	4.57	0.81	0.56	0	0	0	0	0	0	0	0	0	0.34	0.72	0	0	0	7.02	4.54	0	0	0	2	0	46.62	1.99	0	0	3.48	0	0	0	11.36	23.57	14.86	8.67	2.68	0	5.76	0.96	0	1.39	0	1.09	0	0	0	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.89	0	0	0	3.24	0	0	0	0	7.13	2.79	0.8	0	3.46	0	11.85	3.62	0	0	6	0	0	4.28	2.64	0	3.83	1.22	6.02	0	0	4.36	0	5.83	0	0.62	0	0	0	0	1.38	0	3.58
ANKRD12	9.08	0	3.63	3.83	0	0	0.7	1.74	0	303.42	0	257.59	0	0	0	0.78	0	0	0	0.07	3.71	1.31	0	0	1.73	0	0	0.27	1.38	0	261.74	6.84	0	2.43	0	0	0	0	0.38	0	0	1.15	0	0	0	0	3.29	2.12	0	0.25	0.48	0	0	0	0	0	0	9.15	0	0.3	0	0	4.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.18	2.19	0	3.03	375.36	4.28	0	3.42	16.16	11.49	0.2	4	0	0	0	0	0	0	0	0	25.99	4.4	1.51	0	0	1.35	13.76	0	0	27.49	2.89	14.83	0	0	0	0	9.48	0
ANKRD39	0	11.99	15.81	0	0	22.41	0	0	0	0	0	13.6	34.04	72.69	16.21	60.75	0	18.2	0	23.85	0	0	0	0	13.94	36.18	0	0	0	0	0	0	0	81.9	0	0	0	0	0	6.13	62.39	71.43	16.97	28.45	0	0	0	31.49	0	0	0	4.58	6.62	6.3	19.87	7.09	9.22	0.27	22.36	7.22	193.65	1.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.8	0	0	65.16	9.31	0	0	0	88.68	0	15.58	0	6.27	7.25	0	0	18.19	0	0	0	0	135.38	0	0	14.54	3.67	0	0	19.85	0	0	0	0	0	0	0	27.26	6.28	0	6.88	0	53
ANKRD52	0	0	0	0	0	2.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.56	0	2.93	0	0	0	0	0	12.01	0	0	0	2.91	18.09	0	1.53	0	0	0.12	0	0	0	0	6.65	0	0	0.45	0	0	0	0	2.01	0	8.48	1.84	36.7	0	0.82	0	27.09	0	0	0	0	0	0	0	0	0	0	0	5.26	0	0	0	0	0	0	2.67	0	0	0.76	0	0	0.05	0	0.48	3.38	13.35	9.1	0	0	0	0	0	0	0	0	0	0	8.04	1.38	0.73	0	0	3.52	6.6	2.64	51.67	0	2.71	2.65	5.86	4.88
ANKS1A	0	4.33	1.12	12.5	0	0	0	0	0	6.18	0	0	0	0	0	0	0	0	0	0	19.82	12.26	0	4.26	0	34.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.29	73.6	4.24	0.34	13.47	0	0	0	0	3.63	20.34	0	0	222.39	5.79	5.71	8.39	92.34	11.89	11.75	0	2.2	4.78	0	0	0	0	0	20.72	10.38	532.11	0	0	8.14	20.48	0	16.82	0	0	0	0	2.61	6.15	0	0	0	22.09	0	13.34	18.69	0	5.39	6.37	2.75	11.38	106.78	8.06	0	6.55	12.35	0	0	4.39	0	0	0	2.39	14.51	27.58	43.2	57.44	2.96	6.9	0.76	0	0	0	5.04	0
ANLN	30.34	0	30.78	39.49	3.02	16.67	59.48	1.59	0	5.08	158.31	13.08	24	0	20.22	66.74	0	248.19	0	39.81	0	51.23	0	0	4.23	149.02	0	0	0	0	69.09	0	0	13.24	28.67	0	31.44	0	0	0	32.04	18.01	0	0.18	81.52	3.57	26.9	48.31	0	123.76	11.83	25.08	5.69	133.29	16.36	0	0	105.78	13.51	0	0	30.46	38.46	0	0	0	0	0	0	0	493.61	0	217.13	0	0	0	0	0	0	0	86.2	35.34	0	0	0	0	83.72	34.27	31.97	0	0.13	0	46.48	24.97	65.99	32.85	0	0	0	34.68	0	11.55	0.98	24.08	20.31	8.25	40.31	30.7	136.64	114.03	13.07	12.86	16.79	0	10.15	33.4	0	5.55	0
ANO10	0	0	0	0	46.41	0	0	0	0	0	130.2	0	0	0	0	0	0	0	0	0	47.82	0	0	25.58	0	0	0	0	0	0	0	0	0	3.06	0	0	0	63.1	0	0	0	0.27	0	0	0	0	0	0	1.89	0	0	58.72	11.59	167.95	0	0	0	39.48	6.87	0	5.95	0	20.36	0	0	0	37.56	0	0	0	0	0	14.75	0	0	0	0	0	0	0	38.45	0	32.97	85.56	1316.11	0	0	0	0	5.25	0	0	0	0	18.89	17.76	0	0	12.59	52.72	0	0	21.1	0	0	22.72	10.47	1.13	74.99	0	0	59.99	23.04	0	0	0	0	20.97	18.35
AP4S1	0	7.75	9.65	7.42	0	0	5.08	1.24	0	9.22	26.28	24.48	0	0	251.81	0	0	6.8	11.83	0	0	9.25	0	0	0.09	0	0	1.26	0	0	11.67	0	0	19.69	73.1	0	17.66	7.47	30.93	5.27	10.85	33.61	269.64	5.1	0	0	7.88	2.32	0	3.07	6.2	0.12	14.13	0	5.91	1.35	10.91	0	50.67	20.87	206.86	17.63	3.3	0	0	0	196.9	19.57	0	63.5	33.42	79.92	28	0	0	0	26.32	0	8.78	0	0	0	0	0	43.12	9.57	0	0	1.26	0	40.51	0	8.94	5.79	13.19	1.07	32.21	0.25	0	36.41	0	15.73	0	54.43	3.78	21.79	11	25.78	79.9	48.31	4.43	9.31	23.98	0.53	32.43	43.68	28.36	12.28	15.65
APBB2	2.59	0	0	0	5.38	0	1.93	8.1	39.4	0	0	0	0.54	0	0	0	26.36	0	59.15	0	0	0	0.03	0	0	0	0	0	0	0	0	0	5.62	57.83	1.57	26.34	55.14	0	0	17.71	0	1.82	0	0.85	29.05	32.46	0	2.47	1.5	7.3	2.12	0	0	3.49	0	0	19.64	8.44	46	15.76	25.24	8.41	77.85	0	0	102.15	0	0	0	0	73.99	0	0	0	137.92	54.02	119.63	0	0	0	137.49	0	0	6.65	0	0	0	0	14.54	0	58.47	0	232.57	1.72	0	1.44	0.86	0	17.54	152.47	0	0	0	0	0	0	1.79	3.33	0	0	1.63	243.24	6.97	8.55	205.33	26.67	23.03	2.57	1.56
APC2	0	0	0	1.06	0.34	0	0	0	0	0	0	0	12.39	0	1.66	0	0	0	0	0	0	0	0	1.84	0	0.55	0	0	0	0	0	0	0	0	1.8	0	0	1.88	39.76	3.87	2.88	0.21	0.79	0.14	0.67	2.1	0	0	0	1.83	0.36	0	0	0	1.57	0.22	1.56	11.1	1609.23	0.56	11.63	2.53	25.05	0	0	0	3.59	0	0	0	0	0	0	0	21.83	0	0	0	0	0	0	0	0	1.93	11.66	0	0	0	6.31	0.36	0	0.56	0	130.98	0.75	0	0	0	10.76	0	0	0	0	19.86	1.23	0	5.89	8.33	5.2	0	14.09	0	1.33	4.92	34.35	36.41	18.73	0.7	26.85
APOL6	0	0	0	0	0	0	1.87	0	3.38	0.56	0.97	0	3.51	0	2.26	2.32	0	1.7	4.02	9.16	0	0	0	2.9	3.81	4.71	0	0.29	0	0	0	0.79	0.87	2.83	0	0	0	0	0	0	0.65	0	0.8	12.27	2.56	0	0	8.16	8.78	1.13	0	0.58	1.65	3.31	0	0	16.37	30.41	0	0	2.06	0	0	0	0	0	0	3.47	0	0	0	0	0	0	0	0	0.41	0	0	44.09	0	37.81	0	0	0	4.5	1.32	0.49	0	14.39	8.56	0.61	3.43	3.08	0.71	0	4.8	0	0	0.97	0	2.12	0	3.29	1.91	2.05	11.88	0.36	0	0	2.13	0	0	0	0	0	0	0.69	0
ARF3	0	2.42	21.35	0	12.41	0	5.52	18.38	0	0	95.39	0	11.62	0	0	27.14	0	0	0	0	0	3.23	0	0	0	63.9	0	7.21	0	32.19	31.79	0	0.9	147.39	0	27.5	2.81	18.1	334.41	6.59	14.28	0	4.76	2.6	9.24	2.27	0	10.53	344.3	0	45.65	39.99	12.53	0	45.38	137.32	67.88	15.24	0	0	54.14	0	15.44	65.79	2.78	0	51.05	0	0	0	0	1070.97	0	0	0	0	129.36	109.14	23.31	0	0	0	7.17	0	2.92	0	0	0	0	0	26.35	261.44	0	102.85	5.55	0	0	0	0	30.65	0	0	1.59	285.22	76.67	0	0	12.92	44.87	8.69	18.45	259.3	134.92	5.92	0	85.94	0	86.39	10.04
